name,tag
left_atrial_wall_endo,1
mitral_valve_endo,2
superior_left_pulmonary_vein_endo,3
inferior_left_pulmonary_vein_endo,4
superior_right_pulmonary_vein_endo,5
inferior_right_pulmonary_vein_endo,6
left_atrial_appendage_endo,7
left_atrial_lateral_wall_endo,8
left_septum_wall_endo,8
left_atrial_roof_endo,8
left_atrial_wall_epi,11
mitral_valve_epi,12
superior_left_pulmonary_vein_epi,13
inferior_left_pulmonary_vein_epi,14
superior_right_pulmonary_vein_epi,15
inferior_right_pulmonary_vein_epi,16
left_atrial_appendage_epi,17
left_atrial_lateral_wall_epi,18
left_septum_wall_epi,18
left_atrial_roof_epi,18
tricuspid_valve_endo,51
superior_vena_cava_endo,52
inferior_vena_cava_endo,53
inter_caval_bundle_endo,54
right_atrial_lateral_wall_endo,55
isthmus_endo,56
right_atrial_septum_endo,57
right_atrial_appendage_endo,58
pectinate_muscle,59
crista_terminalis,60
tricuspid_valve_epi,61
superior_vena_cava_epi,62
inferior_vena_cava_epi,63
crista_terminalis_epi,64
inter_caval_bundle_epi,65
right_atrial_lateral_wall_epi,66
isthmus_epi,66
right_atrial_septum_epi,67
right_atrial_appendage_epi,68
sinus_node,69
bachmann_bundel_left,81
bachmann_bundel_right,82
bachmann_bundel_internal,83
middle_posterior_bridge_left,84
middle_posterior_bridge_right,85
upper_posterior_bridge_left,86
upper_posterior_bridge_right,87
coronary_sinus_bridge_left,88
coronary_sinus_bridge_right,89
